growth,coefGT,sma_dif,dif_high,dif_low,dif_open,zone_interval,dif_prev_close,dif_bid_ask,zone_size,RSI,MACD,volatility,SP_MA_dif,correlSP,sp_open_dif,sp_dif_high,sp_dif_low,winloss,ask,symbol,alertTime,sellTime,sellPrice
0.84,0.9132,0.30316,1.395561656,1.107741339,0.869230769,153,0.267379679,0.099236641,0.152971471,31.65177107,0.022009473,0.423,-0.02655702,0.006615038,-0.140637327,0.18205551,0.158260511,-1,393.39,ALGN  ,9/25/2018 12:57,9/25/2018 14:49,391.28
0.56,5.0863,0.14617,1.26493324,0.494350282,-0.280308339,18,-1.518288475,0.070323488,0.070422535,43.08439697,0.020124754,0.023,0.056665007,-0.31747561,0.147806957,0,0.213256286,-1,14.23,FCX   ,9/26/2018 10:58,9/26/2018 11:52,14.15
1.38,1.238,0.38352,1.383742911,0.432867558,-0.563909774,185,-0.701806779,0.121129533,0.022716947,36.21123159,-0.090307125,0.088,-0.015554127,0.426705984,0.168431184,0.085789781,0.233893991,-1,132.25,WYNN  ,9/26/2018 13:59,9/26/2018 15:47,131.5
0.55,1.258,0.24002,0.825633969,0.58329214,-0.3330721,72,-0.438895933,0.059008655,0.029530466,32.25142672,0.090954405,0.119,0.018846912,0.150031967,0.329987625,0.123338358,0.395556014,-1,101.74,ALB   ,9/26/2018 14:25,9/26/2018 15:46,101.23
0.65,2.2569,0.25771,1.880693506,3.074360139,3.074360139,48,0.258123292,0.0735186,0.029429076,29.44876687,-0.118411842,0.135,-0.134980507,0.406243998,0.199367524,0.253859348,0.264850549,-1,68.06,INCY  ,9/26/2018 14:45,9/26/2018 15:35,67.68
0.54,2.6226,0.11209,0.683790655,0.215242697,-0.275385759,34,-0.048060119,0.035078488,0.065890622,39.68468149,-0.185149007,0.28,0.035975921,0.529757028,0.206583115,0.051539307,0.324026198,1,228.14,GS    ,9/27/2018 10:21,9/27/2018 10:38,229.32
0.52,3.1138,0.13302,0.518867925,2.217936355,2.168674699,27,0.096478534,0.047192072,0.094562648,44.12624367,0.037286882,0.04,0.018080037,0.903701819,0.313317725,0.054916767,0.430885901,-1,21.2,CTL   ,9/27/2018 10:52,9/27/2018 11:31,21.09
0.59,5.0731,0.46443,1.704879483,2.469879518,1.795332136,19,1.08892922,0.058823529,0.058892815,43.24333893,0.004603472,0.045,-0.02115918,0.841153529,0.323646881,0.072070835,0.441227163,1,17.01,RRC   ,9/27/2018 11:11,9/27/2018 12:50,17.11
0.97,1.855,0.39119,1.312447079,0.233396987,-1.088777219,87,-0.292275574,0.021172983,0.084853627,23.24044274,-0.032712706,0.068,-0.034094237,0.215162672,0.278887206,0.116738197,0.396415029,-1,47.24,LEN   ,9/27/2018 11:36,9/27/2018 12:13,46.94
0.89,1.094,0.31203,1.314217443,0.71192219,-0.956513164,135,0.088827477,0.069741955,0.15979227,20.94577202,-0.023406535,0.08,0.020007203,0.539345574,0.406280127,0.048007681,0.523957256,1,100.44,ALB   ,9/27/2018 12:12,9/27/2018 14:47,101.05
1.05,0.917,0.1987,1.176106469,0.842696629,-1.162434995,190,-0.213675214,0.154990701,0.062015504,22.33290025,-0.018017337,0.044,-0.044228218,0.25950191,0.378735711,0.126912259,0.496380558,-1,32.31,DLPH  ,9/27/2018 13:20,9/27/2018 14:54,32.14
0.8,1.8063,0.44887,0.832684825,5.327868852,3.212851406,73,-4.149665101,0.062295593,0.015588465,29.4599664,0.050003882,0.205,-0.003887785,0.544759575,0.364963504,0.140651801,0.48259221,-1,128.5,MKC   ,9/27/2018 13:39,9/27/2018 14:33,127.83
1.13,0.777,0.36951,1.611650485,0.487804878,-1.435406699,242,-1.097861064,0.019421247,0.185058927,22.06200278,-0.104448058,0.108,-0.017726137,0.658294135,0.337419088,0.1681422,0.455015512,-1,103,SJM   ,9/27/2018 13:59,9/27/2018 15:09,102.45
1.01,1.1889,0.38689,1.008645533,0.872093023,-0.537441777,141,-0.178826896,0.036036036,0.108342362,31.3078438,-0.031293753,0.039,0.030850357,0.69613761,0.258629608,0.185732957,0.272460769,-1,27.76,NLSN  ,9/28/2018 13:20,9/28/2018 14:49,27.6
0.8,9.9503,0.52485,1.608187135,0.293255132,-0.94134685,13,-0.790229885,0.07315289,0.14619883,38.32195893,-0.01548768,0.031,0.026647353,-0.402610346,0.225926813,0.013661669,0.26711414,-1,13.68,FCX   ,10/1/2018 10:29,10/1/2018 10:36,13.61
0.58,1.8057,0.32812,1.053925874,0.070311127,-1.008520257,53,0.104438642,0.08790436,0.10546669,28.51700189,-0.02850754,0.066,-0.013097875,-0.480578665,0.171156677,0.102518539,0.212321496,-1,56.93,CBS   ,10/1/2018 10:53,10/1/2018 11:24,56.64
0.7,1.1651,0.21921,0.717055682,0.095210195,-0.487840396,100,0.844408547,0.036597863,0.087867028,29.51221411,-0.059930295,0.121,-0.030525726,0.458376687,0.147194742,0.126469784,0.188349714,-1,136.67,PNC   ,10/1/2018 11:18,10/1/2018 14:36,135.97
0.84,2.0091,0.38711,1.702462022,0.157397692,-1.470967742,69,-0.359989715,0.078636959,0.157397692,29.19206897,-0.036746223,0.046,-0.033372325,-0.568854068,0.147194742,0.126469784,0.188349714,-1,38.18,SCG   ,10/1/2018 11:26,10/1/2018 11:56,37.98
0.81,2.6342,0.33143,0.80509896,0.948188283,0.471857095,51,0.304259635,0.033557047,0.067136623,26.15538194,-0.026559462,0.053,0.028251741,0.51412609,0.191695478,0.081998018,0.232868737,-1,29.81,DISCK ,10/1/2018 11:43,10/1/2018 11:58,29.66
0.73,1.4255,0.46042,1.152959262,0.347088315,-0.838414634,85,-0.303951368,0.038446751,0.076923077,18.09608863,-0.026846419,0.036,-0.07980391,-0.318560172,0.006846267,0.266986137,0.078788709,-1,26.02,HCP   ,10/1/2018 12:28,10/1/2018 13:04,25.87
1.02,0.8933,0.05249,1.024109238,0.235243798,-0.234142188,190,0.556506849,0.021340162,0.106928999,40.35960646,-0.006507635,0.014,-0.070636378,0.612163092,-0.078732071,0.352860569,0.013705201,-1,46.87,MET   ,10/1/2018 12:48,10/1/2018 15:11,46.63
0.97,0.87,0.33423,0.976975376,0.274992839,-0.500255813,185,0.319361277,0.097220634,0,30.20245703,-0.093120334,0.149,-0.070636378,0.679171903,-0.078732071,0.352860569,0.013705201,-1,175.03,MHK   ,10/1/2018 12:48,10/1/2018 15:25,174.1
0.59,0.712,0.13183,0.609480813,0.158263622,0.090375056,138,0.362811791,0.02257846,0.022609089,44.19141831,-0.022449371,0.038,-0.029793806,0.168737235,-0.071885804,0.345985201,0.020557802,1,44.3,CBRE  ,10/1/2018 13:01,10/1/2018 14:10,44.53
0.56,1.0961,0.30184,0.564334086,1.872536137,1.339869281,85,0.459619173,0.016126431,0.080801551,31.78489079,0.006827248,0.057,-0.029793806,-0.315404031,-0.071885804,0.345985201,0.020557802,-1,62.02,SLB   ,10/1/2018 13:01,10/1/2018 14:30,61.69
0.52,0.7264,0.27965,0.516509869,0.61247216,-0.165745856,119,-0.147112909,0.018450185,0.055442617,30.41195776,-0.059489124,0.049,-0.029793806,-0.283114307,-0.071885804,0.345985201,0.020557802,-1,54.21,VTR   ,10/1/2018 13:01,10/1/2018 15:57,53.93
0.7,0.5401,0.11187,0.72587532,0.242545299,-0.113733295,216,0.413990007,0.014234875,0,27.5787523,0.012082235,0.031,0.00513725,0.628231123,-0.044500736,0.318493151,0.047968204,-1,70.26,GRMN  ,10/1/2018 13:13,10/1/2018 14:45,57.85
0.6,1.0023,0.41525,2.906378601,0.186819558,-1.966717095,99,0.916030534,0.102986612,0.006437492,22.11115129,-0.151581697,0.194,-0.129737205,0.418288832,-0.130079074,0.40445587,0.010283834,-1,155.52,AYI   ,10/1/2018 14:02,10/1/2018 15:31,154.66
0.63,1.0277,0.44125,0.634001792,2.696390658,2.154171067,102,1.096007402,0.020678246,0.058697604,27.2910199,-0.468503157,0.534,-0.043140934,-0.558839438,-0.065039537,0.339110776,0.075414781,-1,290.22,NVDA  ,10/1/2018 14:09,10/1/2018 15:28,288.75
0.89,0.9261,0.45787,0.89473866,2.430997877,1.890179514,160,1.096007402,0.024187975,0.138580931,27.52472594,-0.026857003,0.32,-0.035396209,-0.555664298,-0.102694006,0.376931775,0.037707391,-1,289.47,NVDA  ,10/1/2018 14:35,10/1/2018 15:37,287.88
0.52,3.25,0.49961,1.822176273,0.447848381,0.077599586,26,-0.347982987,0.097018304,0.142450142,36.75410608,0.16526534,0.308,0.021705356,-0.529620954,0.099464947,0.027411341,0.236983102,-1,154.76,AYI   ,10/2/2018 11:24,10/2/2018 11:29,153.88
0.64,2.4096,0.28695,2.330363263,0.13726836,-0.74829932,44,-0.428990743,0.068587106,0.022872827,24.52004033,-0.103894124,0.096,-0.007072281,-0.228133356,0.219508849,0.054757016,0.357191922,1,43.77,BHF   ,10/2/2018 12:13,10/2/2018 12:44,44.01
0.58,2.8813,0.07653,0.581254541,4.373104146,2.127133317,33,-2.648687696,0.121241513,0.048520136,39.86745253,-0.003362353,0.05,-0.043916934,0.60449786,0.181780766,0.092437262,0.319412007,-1,41.29,AN    ,10/2/2018 12:18,10/2/2018 13:22,41.08
0.64,1.9698,0.32046,3.656532457,0.28842192,-2.911846829,54,-0.119521912,0.020546538,0.14421096,27.00432822,-0.114881326,0.099,-0.046084842,-0.448815177,0.17835094,0.095864147,0.315977469,-1,48.68,FL    ,10/2/2018 12:19,10/2/2018 14:43,48.42
0.53,1.5588,0.25415,1.622678397,0.274455989,-1.006386685,56,-0.327932099,0.019554165,0.019580967,25.7213525,-0.058532734,0.077,-0.037873516,-0.143908851,0.181780766,0.092437262,0.319412007,1,51.15,ETFC  ,10/2/2018 12:25,10/2/2018 13:41,51.41
0.73,5.159,0.05973,0.726392252,5.267629567,0.486618005,23,1.985111663,0.080775444,0.161812298,39.39599978,0.009619669,0.028,0.006502373,0.724298588,0.2263685,0.04790911,0.364060997,-1,12.39,GE    ,10/2/2018 14:23,10/2/2018 15:13,12.32
0.72,2.6087,0.33374,0.720164609,0.330305533,-0.287238408,46,0.391349125,0.020580366,0.144419228,30.33040414,0.023399377,0.085,0.005803573,0.504243038,0.075157147,0.092169045,0.157275711,-1,48.6,APA   ,10/3/2018 10:29,10/3/2018 11:26,48.35
0.64,3.267,0.15524,0.644963145,0.773754256,0.223162755,32,0.239123727,0.061462815,0.100061576,44.98563663,0.018022076,0.143,0.005803573,0.3281337,0.075157147,0.092169045,0.157275711,1,130.24,RHT   ,10/3/2018 10:29,10/3/2018 11:24,130.9
0.59,3.8437,0.10606,1.811594203,0.198019802,-0.978473581,25,0.557559856,0.032948929,0.066006601,40.57910601,-0.001022734,0.056,-0.09683318,-0.256366078,-0.020497404,0.187931388,0.06154267,1,30.36,BEN   ,10/3/2018 10:40,10/3/2018 13:01,30.55
0.63,3.6994,-0.0928,0.628322861,1.124144673,0.583373845,28,0.048638132,0.048355899,0.04842615,41.87614086,0.001895534,0.044,-0.049743485,0.428859328,-0.010248702,0.177662373,0.071799781,1,20.69,SYMC  ,10/3/2018 10:55,10/3/2018 11:13,20.8
0.62,1.3414,0.37181,0.726392252,0.215691561,-0.428609697,77,0.511577814,0.026910657,0.107845781,23.93297334,-0.028743728,0.051,-0.011392376,0.401801195,-0.054659743,0.222176648,0.078678206,-1,37.17,MYL   ,10/3/2018 11:17,10/3/2018 11:54,36.97
0.51,0.6473,0.23209,0.576241135,0.329093658,0.329093658,131,0.062299751,0.044345898,0.115545285,22.95627672,-0.052671648,0.102,0.002164031,-0.119450894,-0.01708117,0.184508149,0.116306913,1,112.8,VMC   ,10/3/2018 12:09,10/3/2018 13:01,113.41
0.61,1.0739,0.26208,0.610771793,1.579244219,0.741155083,94,0.576652602,0.125086866,0,29.91182147,-0.03265293,0.074,-0.007058513,0.099407143,0.01708117,0.150288622,0.150514829,1,72.04,R     ,10/3/2018 12:55,10/3/2018 14:24,72.43
1.07,6.1143,0.05356,2.270779777,2.887370509,0.495156082,29,-0.684199273,0.064308682,0.107365257,44.00884397,-0.066942428,0.139,0.01070242,0.143171149,0.027329872,0.140027322,0.160777204,-1,46.68,LEN   ,10/3/2018 13:01,10/3/2018 13:05,46.44
0.8,1.3753,0.40542,1.337136745,0.339892665,0.160714286,96,-0.160456409,0.053514092,0,29.51257576,-0.077966231,0.091,0.002732875,0.207359064,0.006832468,0.160552026,0.140252454,-1,56.09,SRCL  ,10/3/2018 13:56,10/3/2018 14:38,55.76
0.81,0.9758,0.3064,1.518438178,0.271886895,-1.205464774,138,0.511577814,0.027122322,0.163132137,21.67383695,-0.018213416,0.035,-0.012408233,0.04473716,0.020497404,0.146867955,0.153935621,-1,36.88,MYL   ,10/3/2018 14:24,10/3/2018 14:53,36.67
0.8,0.9268,0.51922,0.797679478,2.148148148,1.025641026,143,0.88691796,0.07256894,0.072674419,16.45032455,-0.036959998,0.033,-0.172274029,-0.053415815,-0.293796119,0.462550538,0.034274746,-1,13.79,NAVI  ,10/3/2018 14:49,10/3/2018 15:50,13.72
0.96,2.2792,0.50842,1.181795323,0.65806125,-0.995767986,70,0.19955101,0.025150905,0.075566751,31.41634002,-0.058507952,0.078,0.034857756,-0.35029911,-0.45676214,0.479558392,0.138193125,-1,39.77,AN    ,10/4/2018 10:56,10/4/2018 12:19,39.49
0.53,2.044,0.18301,0.526552366,0.225254215,-0.415654176,43,-0.47731178,0.077115867,0.038600103,33.8131463,0.004220128,0.21,0.034857756,-0.081331883,-0.45676214,0.479558392,0.138193125,-1,155.73,CXO   ,10/4/2018 10:56,10/4/2018 12:22,154.93
0.71,2.0326,0.38752,0.960591133,0.602956967,-0.538951494,58,-0.422832981,0.065724614,0,22.32073973,-0.204552131,0.251,0.023572837,-0.005854686,-0.422419122,0.444904294,0.172741406,1,121.8,ARE   ,10/4/2018 11:11,10/4/2018 11:54,122.48
0.79,1.5143,0.38329,0.787589499,0.842358604,0.696947849,86,-0.454545455,0.023872046,0.071736011,32.85574882,-0.044347596,0.044,-0.082459572,-0.8731972,-0.542619685,0.566298343,0.051822422,-1,41.9,HAL   ,10/4/2018 11:37,10/4/2018 11:45,41.69
0.67,1.8366,0.38859,0.713386488,1.728922092,1.707212975,60,-0.340280732,0.020986359,0.063078217,30.22636613,-0.06010548,0.064,-0.127563785,-0.563553599,-0.604437118,0.628843895,0.048396018,-1,47.66,MET   ,10/4/2018 11:40,10/4/2018 12:04,47.42
0.54,1.7521,0.23189,0.585975024,1.452100185,0.096153846,51,-0.038446751,0.076908287,0,31.76262931,-0.099792523,0.139,-0.083364614,-0.427644465,-0.662820249,0.687986171,0.024206377,-1,104.1,ALB   ,10/4/2018 11:58,10/4/2018 12:22,103.53
0.67,1.7136,0.35268,0.830025262,0.565118208,-0.716589036,65,-0.397654856,0.025783828,0.08780765,30.75649211,0.141283045,0.368,-0.103659169,0.458592377,-0.710900474,0.7367438,0.013837479,-1,387.94,BA    ,10/4/2018 12:02,10/4/2018 12:24,385.81
0.56,1.391,0.40183,0.581300147,0.983877635,-0.08997955,67,-1.767778224,0.0491481,0.024604281,22.83658859,-0.076886299,0.183,-0.12118252,-0.494935554,-0.74180919,0.768112933,0.003460088,-1,122.14,TIF   ,10/4/2018 12:04,10/4/2018 12:14,121.4
0.94,1.3961,0.4142,1.309491059,0.220567963,-1.099200087,112,-0.433439887,0.148776725,0.071684588,18.4013406,-0.389706686,0.426,-0.140431478,0.56060627,-0.769283605,0.796013013,0.006922331,-1,181.75,SNA   ,10/4/2018 12:05,10/4/2018 12:22,180.81
0.89,0.9436,0.31336,2.605459057,0.642169105,-2.303030303,157,-1.045236463,0.017727353,0.106609808,43.93289565,-0.060148494,0.079,-0.074014117,0.24875618,-0.93069579,0.9602385,0.065908145,1,56.42,WDC   ,10/4/2018 13:16,10/4/2018 14:37,56.73
2.02,1.4417,0.51478,2.054154995,0.374882849,0.155860349,233,0.156103653,0.03113325,0.124766064,24.99753209,-0.01055142,0.057,-0.072027035,0.160161268,-1.054330655,1.086390615,0.059040078,-1,32.13,BHGE  ,10/4/2018 13:35,10/4/2018 14:26,31.95
1.18,2.7837,0.64112,3.684598379,0.221565731,-2.932761087,70,-0.780695529,0.073746313,0.073800738,30.42823515,-0.006467889,0.032,-0.072027035,0.836869203,-1.054330655,1.086390615,0.059040078,1,13.57,RIG   ,10/4/2018 13:35,10/4/2018 13:52,13.64
1.17,1.0874,0.51927,1.171875,1.319261214,0.972916119,179,-0.704960836,0.078186083,0.05217845,27.27630038,-0.038452166,0.059,0.033537643,-0.668934889,-0.978776015,1.009260223,0.135444884,1,38.4,SCG   ,10/4/2018 13:47,10/4/2018 15:02,38.63
1.42,4.0261,0.62655,2.89140671,1.546507284,1.546507284,58,-0.859195615,0.00735781,0.007367025,29.75767138,-0.43899056,0.569,-0.032730271,0.098394281,-1.050896353,1.082882132,0.065988261,-1,135.92,AYI   ,10/4/2018 14:12,10/4/2018 14:24,135.22
