growth,coefGT,sma_dif,dif_high,dif_low,dif_open,zone_interval,dif_prev_close,dif_bid_ask,zone_size,RSI,MACD,volatility,SP_MA_dif,correlSP,sp_open_dif,sp_dif_high,sp_dif_low,winloss,ask,symbol,alertTime,sellTime,sellPrice
0.73,0.6946,0.1053,0.731112916,0.791484716,0.709026452,175,0.109200109,0.02708559,0.081411126,36.52456571,-0.002272487,0.012,0.011272238,0.262553254,0.037584011,0.143649583,0.119482244,0,36.93,ATVI  ,12/20/2016 13:00,12/20/2016 15:59,36.805
0.74,1.7078,0.49407,1.211671612,1.327987973,0.571997016,72,0.903387704,0.024734108,0.024770869,27.63140745,-0.027025282,0.076,0.007365397,-0.017663803,0.061903077,0.11931065,0.143821219,0,40.44,BWA   ,12/20/2016 13:22,12/20/2016 15:59,40.38
0.5,0.436,0.10723,0.515248573,0.658816933,0.251291358,191,-0.912989348,0.055733593,0.027897894,40.22878652,-0.000135989,0.019,0.003004951,-0.088064884,0.061903077,0.11931065,0.143821219,0,71.81,MJN   ,12/20/2016 13:57,12/20/2016 15:59,72.06
0.58,1.2306,0.28288,2.211538462,0.872938894,-1.886792453,78,-0.841908326,0.096246391,0,33.16971486,0.007059039,0.011,0.002872503,0.468882614,0.057481429,0.12373503,0.139395951,-1,10.4,SWN   ,12/20/2016 14:03,12/20/2016 14:34,10.33
0.84,0.9328,0.43458,1.208617972,1.819154628,1.331203408,150,0.589180503,0.052576236,0,29.46270954,-0.011042549,0.018,-0.051872112,-0.129054452,-0.035373187,0.216737438,0.046465317,-1,19.03,QEP   ,12/20/2016 14:33,12/20/2016 14:59,18.93
0.54,0.5086,0.31959,1.552462527,1.52173913,-0.585417775,176,0.159914712,0.053561864,0.053619303,41.26560993,-0.001152806,0.015,-0.024627382,-0.412476591,-0.079589671,0.261085052,0.040285273,0,18.68,COTY  ,12/20/2016 14:58,12/20/2016 15:59,18.66
0.6,4.9628,0.10612,0.622876557,0.466492206,-0.361092304,20,-0.168976005,0.079338094,0.130600193,41.72540383,0.129143746,0.224,-0.029767519,-0.37312186,-0.061872984,0.14151152,0.022116065,1,88.3,TSO   ,12/21/2016 10:00,12/21/2016 10:34,88.84
0.56,2.2284,0.15294,0.59982862,0.343938091,0.085763293,41,0.08583691,0.085763293,0.257953568,39.6561095,0.00488823,0.018,-0.003390115,-0.168401567,-0.057453485,0.137083223,0.035388835,-1,11.67,NWSA  ,12/21/2016 10:32,12/21/2016 10:49,11.61
0.71,5.1977,0.38889,3.643979058,0.420609884,-3.51586179,22,1.43472023,0.104821803,0.083945435,38.47117267,0.08739262,0.108,-0.011939137,0.583057133,-0.066292482,0.145940209,0.026541626,-1,47.75,TRIP  ,12/21/2016 10:33,12/21/2016 10:42,47.51
0.89,1.9539,0.25665,1.414293796,0.245746692,-1.174058889,75,0.149309444,0.056603774,0.07558579,38.32097452,-0.040839816,0.043,-0.000280136,0.572588934,-0.083970478,0.163658882,0.046465317,-1,53.03,KSS   ,12/21/2016 11:11,12/21/2016 12:53,52.76
